id,archetype,age,gender,location,urban_rural,education,income_band,trust_govt,trust_media,trust_academia,trust_local,trust_social_media,trust_influencers,trust_religious_leaders,youtube_usage,whatsapp_usage,newspaper_usage,tv_news_usage,regional_media_exposure,english_media_exposure,political_interest,economic_optimism,traditionalism
170,Rural Farmer,58,Male,"Kannur rural, Kerala",Rural,Secondary,₹2.5L-5L,5,5,2,7,4,3,8,4,6,4,5,8,2,5,5,8
171,Retired Government Officer,71,Female,"Hubli, Karnataka",Semi-Urban,Postgraduate,₹5L-10L,8,6,7,7,3,2,7,2,5,8,8,6,8,8,6,7
172,Regional Language Aspirant,23,Male,"Aligarh, Uttar Pradesh",Semi-Urban,Graduate,₹2.5L-5L,5,5,8,7,4,4,6,6,7,7,6,10,3,9,5,7
173,Rural Farmer,30,Male,"Dhar district, Madhya Pradesh",Rural,Primary,Below ₹2.5L,5,4,3,8,3,2,8,5,5,4,6,8,1,5,4,8
174,Homemaker,46,Female,"Amravati, Maharashtra",Semi-Urban,Graduate,₹10L-20L,5,5,4,8,6,5,6,5,9,4,7,6,3,4,5,7
175,Rural Farmer,39,Female,"Murshidabad district, West Bengal",Rural,Higher Secondary,₹2.5L-5L,4,4,3,8,4,3,8,4,6,4,6,9,1,6,5,8
176,Regional Language Aspirant,27,Male,"Amravati, Maharashtra",Semi-Urban,Graduate,₹2.5L-5L,5,5,9,8,5,5,6,5,7,7,7,9,4,8,4,7
177,Homemaker,44,Female,"Mumbai, Maharashtra",Urban,Secondary,₹10L-20L,5,5,3,9,6,5,7,5,9,4,7,6,4,5,5,7
178,Regional Language Aspirant,22,Female,"Kolar district, Karnataka",Rural,Graduate,₹2.5L-5L,5,5,8,7,6,5,6,6,7,7,6,9,3,8,5,7
179,Startup Founder,38,Male,"Pune, Maharashtra",Urban,Graduate,₹20L-50L,3,4,6,5,8,5,3,6,8,5,4,3,10,5,9,3
180,Regional Language Aspirant,30,Male,"Hubli, Karnataka",Semi-Urban,Graduate,Below ₹2.5L,5,5,7,6,4,3,6,7,7,7,6,9,3,9,5,6
181,Regional Language Aspirant,23,Female,"Siliguri, West Bengal",Semi-Urban,Graduate,₹2.5L-5L,5,5,8,7,5,4,6,7,7,7,6,9,4,8,5,7
182,Corporate Employee,29,Female,Delhi,Urban,Graduate,₹5L-10L,5,5,5,5,6,5,4,7,7,5,4,4,8,6,7,5
183,Corporate Employee,40,Female,"Pune, Maharashtra",Urban,Postgraduate,₹10L-20L,5,5,6,5,6,5,5,6,8,5,5,5,8,5,6,6
184,Retired Government Officer,69,Male,"Thiruvananthapuram, Kerala",Urban,Postgraduate,₹20L-50L,7,6,7,7,4,2,8,3,5,8,7,6,7,8,7,8
185,Corporate Employee,32,Male,Chandigarh,Urban,Undergraduate,₹10L-20L,5,5,7,5,6,5,4,6,7,6,4,6,9,5,6,5
186,Rural Farmer,57,Male,"Sitamarhi district, Bihar",Rural,Primary,₹2.5L-5L,5,4,3,8,4,4,8,4,5,4,7,8,2,5,5,8
187,Urban Student,24,Female,"Indore, Madhya Pradesh",Urban,Undergraduate,₹5L-10L,6,4,8,6,8,7,5,9,7,3,3,4,9,4,7,4
188,Startup Founder,32,Female,Delhi,Urban,Graduate,Above ₹50L,5,4,6,5,7,6,2,7,6,5,4,3,9,5,10,3
189,Urban Student,24,Male,"Hyderabad, Telangana",Urban,Undergraduate,Below ₹2.5L,5,5,8,6,7,7,2,8,7,3,3,3,9,3,7,3
190,Corporate Employee,31,Male,"Lucknow, Uttar Pradesh",Urban,Graduate,₹10L-20L,5,4,6,5,6,5,5,6,7,5,5,5,7,5,6,5
191,Small Business Owner,46,Male,"Bhubaneswar, Odisha",Urban,Higher Secondary,₹5L-10L,5,5,5,8,6,3,6,5,8,6,6,8,4,5,6,6
192,Retired Government Officer,72,Male,"Jamshedpur, Jharkhand",Semi-Urban,Postgraduate,₹10L-20L,8,6,7,7,3,3,8,4,4,8,8,7,7,7,6,6
193,Corporate Employee,38,Male,"Mumbai, Maharashtra",Urban,Graduate,₹20L-50L,5,5,6,5,7,5,4,6,7,5,6,4,8,5,5,5
194,Small Business Owner,33,Male,"Surat, Gujarat",Urban,Graduate,₹10L-20L,4,4,4,8,6,4,6,5,8,6,6,6,4,6,5,6
195,Rural Farmer,35,Male,"Sundargarh district, Odisha",Rural,Illiterate,Below ₹2.5L,5,4,3,8,4,2,7,4,6,4,6,10,2,6,5,7
196,Retired Government Officer,67,Female,"Indore, Madhya Pradesh",Urban,Postgraduate,₹20L-50L,8,6,7,6,3,3,6,3,5,8,7,6,7,7,6,7
197,Rural Farmer,45,Male,"Bikaner rural, Rajasthan",Rural,Illiterate,₹2.5L-5L,5,3,3,8,4,3,8,4,6,4,6,9,2,6,5,8
198,Corporate Employee,43,Female,Chandigarh,Urban,Postgraduate,₹5L-10L,5,5,6,5,5,5,5,7,7,5,5,6,8,5,5,5
199,Rural Farmer,61,Female,"Murshidabad district, West Bengal",Rural,Illiterate,₹2.5L-5L,6,4,3,8,4,3,8,4,6,4,5,10,3,6,5,8
200,Rural Farmer,40,Male,"Karimnagar district, Telangana",Rural,Secondary,Below ₹2.5L,5,5,3,8,4,3,8,5,7,4,7,9,3,6,6,8
201,Small Business Owner,49,Female,"Guntur, Andhra Pradesh",Semi-Urban,Higher Secondary,₹5L-10L,4,6,4,8,4,4,6,5,7,5,6,7,5,6,7,6
202,Regional Language Aspirant,21,Male,"Kolhapur, Maharashtra",Semi-Urban,Postgraduate,₹2.5L-5L,5,5,8,7,5,3,6,6,7,7,6,9,3,7,4,7
203,Corporate Employee,31,Male,Delhi,Urban,Graduate,₹5L-10L,4,6,6,5,6,5,5,5,7,4,5,5,8,5,5,5
204,Small Business Owner,56,Female,"Coimbatore, Tamil Nadu",Urban,Graduate,₹5L-10L,5,5,4,8,5,4,5,5,7,5,6,8,4,6,6,6
205,Corporate Employee,41,Female,"Chennai, Tamil Nadu",Urban,Undergraduate,₹10L-20L,5,4,6,5,6,5,5,7,7,5,5,5,8,5,6,5
206,Retired Government Officer,75,Male,"Tirupati, Andhra Pradesh",Semi-Urban,Postgraduate,₹20L-50L,8,6,8,6,3,1,5,2,4,8,8,7,7,8,6,6
207,Corporate Employee,40,Female,"Indore, Madhya Pradesh",Urban,Postgraduate,₹5L-10L,5,4,6,5,6,5,4,6,7,5,4,5,8,6,6,6
208,Homemaker,49,Female,"Erode, Tamil Nadu",Semi-Urban,Secondary,₹10L-20L,5,4,4,8,6,6,8,5,9,3,7,7,3,4,6,7
209,Small Business Owner,55,Male,"Madurai, Tamil Nadu",Semi-Urban,Undergraduate,₹2.5L-5L,5,5,5,8,5,4,6,5,8,6,7,7,4,6,6,6
210,Urban Student,24,Female,"Indore, Madhya Pradesh",Urban,Postgraduate,₹5L-10L,6,6,8,6,7,6,3,9,8,3,2,4,9,5,7,3
211,Small Business Owner,34,Male,"Ahmedabad, Gujarat",Urban,Undergraduate,₹5L-10L,5,5,4,7,5,3,7,6,8,6,6,7,3,6,6,6
212,Small Business Owner,52,Male,"Thiruvananthapuram, Kerala",Urban,Undergraduate,₹10L-20L,5,5,4,8,5,4,6,5,7,5,7,7,5,6,6,6
213,Urban Student,18,Female,"Patna, Bihar",Urban,Undergraduate,₹5L-10L,5,5,8,6,7,7,3,9,7,3,3,3,10,5,7,4
214,Regional Language Aspirant,19,Male,"Tirupati, Andhra Pradesh",Semi-Urban,Graduate,₹2.5L-5L,5,5,8,7,6,4,6,6,8,7,6,9,3,8,5,8
215,Urban Student,19,Male,Chandigarh,Urban,Undergraduate,Below ₹2.5L,4,5,8,6,8,6,4,9,8,3,3,4,9,5,7,2
216,Urban Student,21,Male,"Nagpur, Maharashtra",Urban,Undergraduate,₹2.5L-5L,5,5,8,6,7,7,4,9,7,3,4,4,10,4,7,3
217,Homemaker,40,Female,"Karimnagar district, Telangana",Rural,Undergraduate,₹2.5L-5L,6,5,4,8,6,5,7,5,9,4,6,7,5,4,5,7
218,Corporate Employee,41,Male,"Chennai, Tamil Nadu",Urban,Postgraduate,₹10L-20L,4,5,6,5,6,4,4,6,7,5,6,5,7,5,6,5
219,Homemaker,53,Female,"Mehsana district, Gujarat",Rural,Graduate,₹5L-10L,6,4,3,9,6,4,6,5,10,5,6,7,2,4,5,7
220,Rural Farmer,30,Male,"Bikaner rural, Rajasthan",Rural,Primary,Below ₹2.5L,5,4,3,7,5,3,8,3,6,4,6,9,3,6,5,8
221,Corporate Employee,32,Male,"Lucknow, Uttar Pradesh",Urban,Postgraduate,₹10L-20L,5,5,6,4,7,5,4,6,7,4,4,5,8,5,7,4
222,Corporate Employee,27,Male,"Patna, Bihar",Urban,Undergraduate,₹10L-20L,5,5,6,5,6,5,3,6,7,5,5,6,7,5,6,5
223,Rural Farmer,42,Male,"Hoshiarpur district, Punjab",Rural,Primary,Below ₹2.5L,5,4,4,9,4,2,7,4,6,4,7,10,2,6,5,9
224,Regional Language Aspirant,27,Female,"Nellore, Andhra Pradesh",Semi-Urban,Undergraduate,₹5L-10L,5,5,8,6,5,3,6,6,6,7,6,9,4,8,5,7
225,Urban Student,20,Female,Chandigarh,Urban,Postgraduate,₹2.5L-5L,5,5,8,6,7,7,3,9,7,3,3,4,9,4,8,3
226,Regional Language Aspirant,21,Female,"Kannur rural, Kerala",Rural,Postgraduate,₹5L-10L,5,6,8,7,5,4,6,6,7,7,6,9,2,8,5,7
227,Corporate Employee,26,Male,"Vadodara, Gujarat",Urban,Postgraduate,₹10L-20L,6,5,6,5,6,6,6,6,7,5,6,4,8,4,6,5
228,Small Business Owner,32,Male,Chandigarh,Urban,Secondary,₹5L-10L,4,5,4,8,5,4,6,5,8,6,6,6,3,5,6,6
229,Small Business Owner,36,Male,"Visakhapatnam, Andhra Pradesh",Urban,Secondary,₹10L-20L,6,5,4,8,5,4,6,5,8,6,5,7,4,6,6,6
230,Rural Farmer,46,Male,"Sangrur district, Punjab",Rural,Primary,Below ₹2.5L,5,3,3,8,4,3,8,4,6,4,7,9,2,6,5,8
231,Regional Language Aspirant,29,Male,"Siliguri, West Bengal",Semi-Urban,Graduate,₹2.5L-5L,5,5,9,6,5,4,6,6,8,6,5,9,3,8,5,8
232,Rural Farmer,63,Male,"Nashik rural, Maharashtra",Rural,Secondary,Below ₹2.5L,5,4,3,8,4,3,8,3,7,3,5,9,2,6,5,7
233,Small Business Owner,34,Male,"Lucknow, Uttar Pradesh",Urban,Secondary,₹5L-10L,5,5,4,8,6,4,6,5,8,6,6,6,4,5,6,5
234,Rural Farmer,37,Female,"Warangal rural, Telangana",Rural,Secondary,₹2.5L-5L,5,4,3,8,5,3,8,3,6,4,6,9,1,6,5,8
235,Startup Founder,45,Male,"Pune, Maharashtra",Urban,Postgraduate,₹20L-50L,5,4,6,5,7,6,4,7,7,5,5,4,10,4,9,3
236,Urban Student,21,Female,"Pune, Maharashtra",Urban,Higher Secondary,Below ₹2.5L,5,5,7,6,7,8,3,10,6,3,3,4,10,5,7,3
237,Urban Student,18,Female,"Lucknow, Uttar Pradesh",Urban,Postgraduate,Below ₹2.5L,4,5,8,7,7,7,3,10,7,4,3,4,9,5,7,3
238,Small Business Owner,41,Male,"Belgaum, Karnataka",Semi-Urban,Graduate,₹10L-20L,5,5,4,9,5,4,6,5,9,6,5,7,4,6,5,6
239,Urban Student,17,Male,"Kolkata, West Bengal",Urban,Undergraduate,₹2.5L-5L,5,5,8,6,7,7,3,9,7,3,4,5,10,5,7,3
240,Urban Student,21,Female,"Pune, Maharashtra",Urban,Undergraduate,₹2.5L-5L,5,5,8,6,7,7,4,9,7,4,2,4,9,4,6,3
241,Startup Founder,33,Male,Delhi,Urban,Graduate,Above ₹50L,3,4,5,5,7,6,4,7,6,5,5,3,10,4,9,2
242,Regional Language Aspirant,29,Male,"Ratnagiri district, Maharashtra",Rural,Graduate,Below ₹2.5L,4,5,8,7,5,5,7,6,6,8,6,9,3,8,5,8
243,Urban Student,19,Male,"Lucknow, Uttar Pradesh",Urban,Higher Secondary,Below ₹2.5L,5,5,8,6,6,7,3,8,7,3,3,5,10,4,7,3
244,Corporate Employee,32,Male,"Bhubaneswar, Odisha",Urban,Graduate,₹20L-50L,5,5,6,5,6,5,5,6,7,5,6,5,8,6,7,5
245,Corporate Employee,33,Male,"Bhopal, Madhya Pradesh",Urban,Graduate,₹5L-10L,5,5,6,4,6,5,4,6,7,5,5,5,8,5,6,5
246,Retired Government Officer,63,Male,"Indore, Madhya Pradesh",Urban,Graduate,₹10L-20L,8,6,8,7,3,1,6,3,6,8,9,6,7,8,6,7
247,Corporate Employee,34,Male,"Kolkata, West Bengal",Urban,Graduate,₹20L-50L,5,5,6,5,6,5,4,6,7,6,5,6,7,5,7,6
248,Homemaker,61,Female,"Guntur, Andhra Pradesh",Semi-Urban,Higher Secondary,₹2.5L-5L,5,5,4,8,6,4,7,5,10,4,7,7,4,4,5,7
249,Corporate Employee,35,Male,"Indore, Madhya Pradesh",Urban,Graduate,₹5L-10L,5,5,5,5,6,4,4,6,6,5,5,5,8,5,6,5
250,Urban Student,18,Male,"Visakhapatnam, Andhra Pradesh",Urban,Undergraduate,Below ₹2.5L,5,5,7,6,7,7,2,9,7,3,3,4,9,4,6,3
251,Regional Language Aspirant,26,Male,"Madurai, Tamil Nadu",Semi-Urban,Undergraduate,₹5L-10L,5,5,8,7,5,5,6,5,7,8,6,9,4,8,5,7
252,Small Business Owner,57,Female,"Guwahati, Assam",Urban,Undergraduate,₹10L-20L,5,5,3,9,5,5,6,5,9,6,6,7,4,4,6,6
253,Regional Language Aspirant,20,Male,"Nashik rural, Maharashtra",Rural,Undergraduate,Below ₹2.5L,4,5,8,7,5,5,6,6,7,7,6,9,3,8,5,7
254,Homemaker,59,Female,"Dhar district, Madhya Pradesh",Rural,Secondary,Below ₹2.5L,5,5,4,8,6,6,7,4,9,3,7,7,3,4,6,7
255,Homemaker,60,Male,"Tirupati, Andhra Pradesh",Semi-Urban,Undergraduate,₹2.5L-5L,5,5,4,8,6,5,7,5,8,5,7,7,4,5,5,7
256,Retired Government Officer,70,Female,"Thiruvananthapuram, Kerala",Urban,Doctorate,₹10L-20L,8,7,7,6,3,2,7,3,5,9,8,6,7,9,6,7
257,Homemaker,42,Female,"Dhar district, Madhya Pradesh",Rural,Undergraduate,₹2.5L-5L,5,5,3,7,7,6,7,4,9,4,7,7,4,5,5,6
258,Rural Farmer,54,Female,"Nashik rural, Maharashtra",Rural,Secondary,₹5L-10L,5,4,4,8,4,3,7,4,7,4,6,9,3,6,5,8
259,Small Business Owner,45,Female,"Kolkata, West Bengal",Urban,Undergraduate,₹10L-20L,6,4,4,8,5,4,6,5,8,6,7,7,4,4,6,6
260,Regional Language Aspirant,25,Male,"Thanjavur rural, Tamil Nadu",Rural,Graduate,₹5L-10L,4,5,7,7,5,4,5,6,7,7,6,9,3,8,6,7
261,Urban Student,16,Male,"Jaipur, Rajasthan",Urban,Postgraduate,Below ₹2.5L,5,5,8,6,7,6,4,9,8,3,3,5,9,5,7,3
262,Regional Language Aspirant,25,Male,"Belgaum, Karnataka",Semi-Urban,Graduate,₹5L-10L,5,5,7,7,4,4,6,6,7,7,6,10,3,8,5,8
263,Corporate Employee,27,Female,Chandigarh,Urban,Graduate,₹10L-20L,5,5,6,5,6,5,5,6,7,5,5,5,9,5,6,5
264,Homemaker,34,Female,"Bhopal, Madhya Pradesh",Urban,Secondary,₹2.5L-5L,6,4,4,8,6,5,6,5,10,3,7,7,4,4,5,7
265,Corporate Employee,46,Female,"Bangalore, Karnataka",Urban,Graduate,₹20L-50L,6,5,6,5,7,5,4,6,7,5,5,4,8,5,7,5
266,Startup Founder,34,Male,"Mumbai, Maharashtra",Urban,Graduate,₹20L-50L,4,4,6,5,7,6,3,6,6,5,4,3,9,5,8,3
267,Homemaker,58,Female,"Sundargarh district, Odisha",Rural,Undergraduate,₹5L-10L,5,5,3,9,6,5,8,5,9,4,7,6,3,6,5,8
268,Corporate Employee,36,Male,"Mumbai, Maharashtra",Urban,Graduate,₹10L-20L,5,5,6,6,6,5,4,6,7,5,5,6,8,5,6,6
269,Small Business Owner,46,Male,"Jaipur, Rajasthan",Urban,Graduate,₹5L-10L,5,5,4,9,6,4,6,5,8,6,6,8,4,5,6,7
270,Corporate Employee,48,Male,"Pune, Maharashtra",Urban,Undergraduate,₹10L-20L,6,5,6,5,6,5,4,6,7,5,5,5,9,5,6,6
271,Retired Government Officer,77,Female,"Madurai, Tamil Nadu",Semi-Urban,Doctorate,₹20L-50L,8,6,7,7,3,2,7,2,5,7,8,6,7,9,6,6
272,Rural Farmer,40,Male,"Bastar district, Chhattisgarh",Rural,Higher Secondary,Below ₹2.5L,5,4,3,9,4,4,8,4,6,4,6,10,1,5,4,8
273,Corporate Employee,33,Female,"Visakhapatnam, Andhra Pradesh",Urban,Graduate,₹5L-10L,5,5,6,5,6,5,5,7,7,5,6,6,8,5,6,5
274,Startup Founder,29,Female,"Hyderabad, Telangana",Urban,Doctorate,₹10L-20L,4,4,6,5,7,5,2,7,7,5,4,4,10,6,9,3
275,Startup Founder,26,Male,"Chennai, Tamil Nadu",Urban,Postgraduate,Above ₹50L,4,5,5,6,7,6,3,7,8,5,4,3,10,5,10,3
276,Rural Farmer,32,Female,"Mehsana district, Gujarat",Rural,Primary,Below ₹2.5L,5,4,3,8,5,3,7,4,6,3,6,8,2,6,4,8
277,Regional Language Aspirant,29,Female,"Siliguri, West Bengal",Semi-Urban,Postgraduate,Below ₹2.5L,5,5,9,7,6,4,6,6,7,7,6,8,3,8,5,6
278,Urban Student,23,Female,"Guwahati, Assam",Urban,Undergraduate,Below ₹2.5L,5,5,8,5,6,6,4,9,6,3,4,4,9,4,7,3
279,Retired Government Officer,74,Male,"Noida, Uttar Pradesh",Urban,Graduate,₹5L-10L,8,5,7,7,3,2,6,3,5,8,9,6,7,8,6,7
280,Retired Government Officer,73,Male,"Bangalore, Karnataka",Urban,Postgraduate,₹20L-50L,8,6,7,7,3,2,6,3,5,9,8,6,7,7,7,6
281,Small Business Owner,53,Male,"Indore, Madhya Pradesh",Urban,Secondary,₹5L-10L,5,5,5,8,4,4,5,4,8,6,7,7,4,5,6,6
282,Startup Founder,34,Male,"Pune, Maharashtra",Urban,Graduate,₹20L-50L,3,4,7,5,7,7,3,7,7,5,4,3,10,5,9,2
283,Urban Student,24,Male,"Lucknow, Uttar Pradesh",Urban,Undergraduate,Below ₹2.5L,5,4,7,7,7,8,3,9,6,3,3,4,9,5,7,3
284,Homemaker,60,Female,"Amravati, Maharashtra",Semi-Urban,Secondary,₹2.5L-5L,5,5,4,8,6,5,6,5,9,4,7,7,3,5,5,7
285,Rural Farmer,41,Male,"Murshidabad district, West Bengal",Rural,Illiterate,Below ₹2.5L,6,4,3,8,4,3,7,4,6,4,6,9,2,6,5,8
286,Rural Farmer,48,Female,"Mehsana district, Gujarat",Rural,Secondary,Below ₹2.5L,5,4,4,8,4,3,8,4,5,4,6,9,2,7,5,7
287,Retired Government Officer,77,Female,"Belgaum, Karnataka",Semi-Urban,Graduate,₹20L-50L,8,6,7,8,4,1,6,3,5,7,9,6,6,8,6,7
288,Startup Founder,45,Female,"Hyderabad, Telangana",Urban,Graduate,₹10L-20L,4,4,6,5,7,6,3,7,7,6,4,3,10,4,9,3
289,Small Business Owner,44,Male,"Mumbai, Maharashtra",Urban,Higher Secondary,₹5L-10L,4,5,4,8,5,4,6,5,7,6,5,7,4,5,7,6
290,Urban Student,18,Female,"Bangalore, Karnataka",Urban,Undergraduate,Below ₹2.5L,5,5,8,6,8,7,3,9,8,2,3,4,9,4,6,3
291,Small Business Owner,45,Male,Delhi,Urban,Higher Secondary,₹2.5L-5L,6,5,4,7,5,4,6,5,8,6,6,7,4,6,6,6
292,Corporate Employee,33,Female,"Indore, Madhya Pradesh",Urban,Postgraduate,₹5L-10L,5,5,5,5,6,5,5,6,7,5,5,5,8,5,6,5
293,Small Business Owner,37,Male,"Mumbai, Maharashtra",Urban,Higher Secondary,₹10L-20L,5,5,4,8,5,3,6,5,8,6,6,6,4,6,7,5
294,Small Business Owner,41,Male,"Guntur, Andhra Pradesh",Semi-Urban,Undergraduate,₹2.5L-5L,5,5,4,7,6,4,6,5,9,6,6,7,4,6,6,5
295,Urban Student,18,Male,"Thiruvananthapuram, Kerala",Urban,Undergraduate,₹5L-10L,6,5,8,6,7,8,3,9,7,3,3,3,9,5,6,3
296,Startup Founder,31,Male,"Hyderabad, Telangana",Urban,Graduate,₹10L-20L,4,4,6,5,7,6,2,7,7,5,4,3,9,6,9,3
297,Homemaker,30,Female,"Bangalore, Karnataka",Urban,Graduate,Below ₹2.5L,5,5,4,9,6,5,7,4,9,4,6,8,3,5,4,8
298,Retired Government Officer,77,Female,"Hyderabad, Telangana",Urban,Graduate,₹20L-50L,8,6,7,7,3,2,7,3,6,8,8,6,7,8,6,7
299,Homemaker,49,Female,"Nashik rural, Maharashtra",Rural,Undergraduate,Below ₹2.5L,5,5,4,8,5,5,7,5,9,4,6,7,3,4,4,7
300,Regional Language Aspirant,34,Female,"Nashik rural, Maharashtra",Rural,Undergraduate,₹2.5L-5L,6,5,8,8,6,4,6,6,7,7,6,9,4,9,5,8
301,Retired Government Officer,75,Male,"Thiruvananthapuram, Kerala",Urban,Doctorate,₹10L-20L,8,6,7,6,3,2,7,3,5,7,8,6,7,8,6,6
302,Retired Government Officer,67,Female,"Lucknow, Uttar Pradesh",Urban,Postgraduate,₹5L-10L,7,6,7,7,2,2,8,3,5,9,8,7,7,8,6,7
303,Retired Government Officer,68,Male,"Hyderabad, Telangana",Urban,Postgraduate,₹5L-10L,7,6,7,7,2,2,6,4,5,8,7,6,7,8,6,7
304,Startup Founder,28,Male,"Pune, Maharashtra",Urban,Graduate,Above ₹50L,4,4,6,6,7,7,4,7,7,6,4,2,9,5,9,3
305,Homemaker,54,Female,"Nashik rural, Maharashtra",Rural,Graduate,Below ₹2.5L,5,5,4,7,6,5,7,5,9,5,7,7,4,3,6,8
306,Regional Language Aspirant,29,Female,"Kolhapur, Maharashtra",Semi-Urban,Graduate,₹5L-10L,5,5,8,7,5,5,7,6,7,8,6,10,3,8,6,7
307,Retired Government Officer,61,Male,"Vadodara, Gujarat",Urban,Doctorate,₹20L-50L,9,6,7,7,3,1,6,3,5,8,8,6,7,8,6,6
308,Retired Government Officer,68,Male,"Ahmedabad, Gujarat",Urban,Graduate,₹10L-20L,8,7,7,7,3,3,6,3,4,8,7,6,7,8,6,7
309,Corporate Employee,36,Female,"Bhopal, Madhya Pradesh",Urban,Graduate,₹10L-20L,4,5,6,5,6,5,4,6,7,5,5,6,8,5,5,5
310,Rural Farmer,41,Male,"Thanjavur rural, Tamil Nadu",Rural,Secondary,₹2.5L-5L,5,4,3,8,4,2,8,5,6,4,6,9,3,6,5,9
311,Regional Language Aspirant,26,Female,"Ujjain, Madhya Pradesh",Semi-Urban,Postgraduate,₹2.5L-5L,5,5,8,6,4,3,6,6,7,6,6,9,2,8,5,7
312,Small Business Owner,45,Male,"Aligarh, Uttar Pradesh",Semi-Urban,Graduate,₹2.5L-5L,5,5,4,8,5,4,7,5,8,6,5,7,4,5,6,5
313,Corporate Employee,25,Male,"Gurugram, Haryana",Urban,Graduate,₹5L-10L,4,5,6,5,6,6,3,6,7,5,5,5,8,5,6,5
314,Urban Student,24,Female,"Nagpur, Maharashtra",Urban,Higher Secondary,Below ₹2.5L,5,5,8,6,7,7,4,9,7,3,4,5,9,5,7,3
315,Homemaker,52,Female,"Kannur rural, Kerala",Rural,Graduate,Below ₹2.5L,5,4,4,8,6,5,7,5,9,4,7,7,4,5,5,7
316,Startup Founder,36,Male,"Gurugram, Haryana",Urban,Doctorate,₹20L-50L,3,4,6,5,7,5,3,7,7,4,4,3,9,5,8,3
317,Regional Language Aspirant,20,Female,"Siliguri, West Bengal",Semi-Urban,Undergraduate,₹2.5L-5L,6,5,8,7,5,4,6,5,6,7,7,9,3,8,5,7
318,Retired Government Officer,75,Male,"Bilaspur, Chhattisgarh",Semi-Urban,Graduate,₹5L-10L,8,7,7,7,3,3,6,2,5,8,8,6,7,8,6,7
319,Urban Student,24,Female,"Kochi, Kerala",Urban,Higher Secondary,₹2.5L-5L,5,4,8,6,7,7,3,9,7,3,3,3,9,5,7,3
320,Small Business Owner,32,Male,"Jamshedpur, Jharkhand",Semi-Urban,Secondary,₹5L-10L,4,5,4,8,5,3,6,5,8,6,7,7,5,5,6,5
321,Urban Student,16,Female,"Hyderabad, Telangana",Urban,Higher Secondary,Below ₹2.5L,5,5,9,6,7,8,5,10,7,3,3,4,9,4,7,3
322,Homemaker,61,Female,"Guntur, Andhra Pradesh",Semi-Urban,Undergraduate,₹2.5L-5L,5,5,4,8,6,5,7,5,9,4,8,8,3,4,5,7
323,Regional Language Aspirant,29,Female,"Bikaner rural, Rajasthan",Rural,Postgraduate,₹2.5L-5L,5,6,9,7,5,5,6,5,7,7,5,9,3,7,4,7
324,Urban Student,17,Female,"Mumbai, Maharashtra",Urban,Undergraduate,₹5L-10L,5,5,9,6,7,7,3,9,7,3,3,3,10,4,7,3
325,Corporate Employee,37,Male,"Thiruvananthapuram, Kerala",Urban,Graduate,₹20L-50L,5,5,7,4,6,5,4,6,7,5,5,6,8,5,6,5
326,Small Business Owner,43,Female,"Kolkata, West Bengal",Urban,Graduate,₹10L-20L,6,4,3,7,5,4,6,6,9,6,6,6,4,5,6,6
327,Urban Student,21,Male,Delhi,Urban,Higher Secondary,₹5L-10L,5,5,8,6,7,7,3,9,7,2,3,3,9,4,7,3
328,Rural Farmer,38,Male,"Kannur rural, Kerala",Rural,Higher Secondary,₹2.5L-5L,4,3,3,8,4,3,8,4,7,3,5,9,1,7,5,8
329,Retired Government Officer,77,Male,"Aligarh, Uttar Pradesh",Semi-Urban,Postgraduate,₹10L-20L,7,7,7,7,2,2,6,3,5,8,8,5,7,8,6,7
330,Retired Government Officer,61,Female,"Hubli, Karnataka",Semi-Urban,Graduate,₹10L-20L,8,6,6,7,3,2,8,3,6,9,9,6,7,8,6,7
331,Small Business Owner,55,Female,"Kolkata, West Bengal",Urban,Graduate,₹10L-20L,5,5,4,8,5,5,6,5,8,5,6,7,4,6,6,7
332,Startup Founder,26,Female,"Mumbai, Maharashtra",Urban,Graduate,₹10L-20L,4,4,6,5,7,6,3,7,6,5,4,3,10,6,9,3
333,Startup Founder,39,Female,"Bangalore, Karnataka",Urban,Graduate,Above ₹50L,4,4,6,4,7,5,2,7,7,6,4,3,10,5,9,4
334,Regional Language Aspirant,23,Male,"Hoshiarpur district, Punjab",Rural,Undergraduate,₹2.5L-5L,5,4,7,7,5,4,6,6,7,8,5,9,3,8,5,6
335,Urban Student,21,Male,"Noida, Uttar Pradesh",Urban,Undergraduate,Below ₹2.5L,5,5,8,6,7,7,3,9,7,3,4,3,9,4,7,3
336,Corporate Employee,48,Female,"Chennai, Tamil Nadu",Urban,Graduate,₹20L-50L,4,5,6,5,6,6,4,6,7,5,5,5,8,6,5,6
337,Urban Student,23,Male,"Mumbai, Maharashtra",Urban,Undergraduate,Below ₹2.5L,5,5,8,6,7,7,3,8,7,2,2,5,9,6,8,3
338,Rural Farmer,45,Male,"Sitamarhi district, Bihar",Rural,Primary,₹2.5L-5L,4,4,2,9,4,2,7,4,7,4,6,8,1,6,5,8
339,Regional Language Aspirant,33,Male,"Kolhapur, Maharashtra",Semi-Urban,Graduate,₹5L-10L,6,5,8,8,5,4,6,5,7,7,7,9,3,8,5,7
340,Retired Government Officer,60,Female,"Aligarh, Uttar Pradesh",Semi-Urban,Graduate,₹10L-20L,8,7,7,7,3,2,5,3,5,8,9,6,8,8,5,7
